featureId,existingLocation,destination,requirement,ownership,invariants,implementation,areaValidation
F01.01,Appearance (separate top-bar panel),appearance,Skin name,Unified presentation,Preview is distinct from saving; Import preserves a draft until applied; Do not reduce custom skins to a theme switch,"Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; settings-browser
F01.02,Appearance (separate top-bar panel),appearance,"Light, dark, follow-device appearance",Unified presentation,Preview is distinct from saving; Import preserves a draft until applied; Do not reduce custom skins to a theme switch,"Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; settings-browser
F01.03,Appearance (separate top-bar panel),appearance,"All three layouts: context alongside, more conversation room, context on left",Unified presentation,Preview is distinct from saving; Import preserves a draft until applied; Do not reduce custom skins to a theme switch,"Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; settings-browser
F01.04,Appearance (separate top-bar panel),appearance,Complete CSS editor,Unified presentation,Preview is distinct from saving; Import preserves a draft until applied; Do not reduce custom skins to a theme switch,"Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; settings-browser
F01.05,Appearance (separate top-bar panel),appearance,Apply skin,Unified presentation,Preview is distinct from saving; Import preserves a draft until applied; Do not reduce custom skins to a theme switch,"Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; settings-browser
F01.06,Appearance (separate top-bar panel),appearance,Preview and end preview,Unified presentation,Preview is distinct from saving; Import preserves a draft until applied; Do not reduce custom skins to a theme switch,"Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; settings-browser
F01.07,Appearance (separate top-bar panel),appearance,Revert edits,Unified presentation,Preview is distinct from saving; Import preserves a draft until applied; Do not reduce custom skins to a theme switch,"Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; settings-browser
F01.08,Appearance (separate top-bar panel),appearance,Export skin,Unified presentation,Preview is distinct from saving; Import preserves a draft until applied; Do not reduce custom skins to a theme switch,"Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; settings-browser
F01.09,Appearance (separate top-bar panel),appearance,Import CSS by picker or drag/drop; 250 KB limit,Unified presentation,Preview is distinct from saving; Import preserves a draft until applied; Do not reduce custom skins to a theme switch,"Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; settings-browser
F01.10,Appearance (separate top-bar panel),appearance,Restore default skin,Unified presentation,Preview is distinct from saving; Import preserves a draft until applied; Do not reduce custom skins to a theme switch,"Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; settings-browser
F02.01,Setup > Conversation defaults > Voice,voice,Preferred voice model,Unified voice integration,"No invented microphone, speaker, interruption or speech controls","Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser
F02.02,Setup > Conversation defaults > Voice,voice,Fallback voice model,Unified voice integration,"No invented microphone, speaker, interruption or speech controls","Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser
F02.03,Setup > Conversation defaults > Voice,voice,Both existing model choices,Unified voice integration,"No invented microphone, speaker, interruption or speech controls","Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser
F02.04,Setup > Conversation defaults > Voice,voice,Apply to future voice connections,Unified voice integration,"No invented microphone, speaker, interruption or speech controls","Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser
F03.01,Maintenance > Notifications,notifications,Load saved notification settings,Unified notifications,"HTTPS server without embedded credentials, query or fragment; Topic validates characters and length; Push requires a topic; No secrets in shared UI state; Permission request is device-specific","Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; test_management.py
F03.02,Maintenance > Notifications,notifications,Request browser notification permission,Unified notifications,"HTTPS server without embedded credentials, query or fragment; Topic validates characters and length; Push requires a topic; No secrets in shared UI state; Permission request is device-specific","Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; test_management.py
F03.03,Maintenance > Notifications,notifications,Desktop notifications for text responses,Unified notifications,"HTTPS server without embedded credentials, query or fragment; Topic validates characters and length; Push requires a topic; No secrets in shared UI state; Permission request is device-specific","Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; test_management.py
F03.04,Maintenance > Notifications,notifications,Notification server,Unified notifications,"HTTPS server without embedded credentials, query or fragment; Topic validates characters and length; Push requires a topic; No secrets in shared UI state; Permission request is device-specific","Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; test_management.py
F03.05,Maintenance > Notifications,notifications,Private topic,Unified notifications,"HTTPS server without embedded credentials, query or fragment; Topic validates characters and length; Push requires a topic; No secrets in shared UI state; Permission request is device-specific","Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; test_management.py
F03.06,Maintenance > Notifications,notifications,Private access token,Unified notifications,"HTTPS server without embedded credentials, query or fragment; Topic validates characters and length; Push requires a topic; No secrets in shared UI state; Permission request is device-specific","Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; test_management.py
F03.07,Maintenance > Notifications,notifications,Saved-credential indicators and blank-preserves-existing behavior,Unified notifications,"HTTPS server without embedded credentials, query or fragment; Topic validates characters and length; Push requires a topic; No secrets in shared UI state; Permission request is device-specific","Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; test_management.py
F03.08,Maintenance > Notifications,notifications,Enable push delivery,Unified notifications,"HTTPS server without embedded credentials, query or fragment; Topic validates characters and length; Push requires a topic; No secrets in shared UI state; Permission request is device-specific","Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; test_management.py
F03.09,Maintenance > Notifications,notifications,Include response preview,Unified notifications,"HTTPS server without embedded credentials, query or fragment; Topic validates characters and length; Push requires a topic; No secrets in shared UI state; Permission request is device-specific","Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; test_management.py
F03.10,Maintenance > Notifications,notifications,Save all notification choices together,Unified notifications,"HTTPS server without embedded credentials, query or fragment; Topic validates characters and length; Push requires a topic; No secrets in shared UI state; Permission request is device-specific","Existing native form, action and behavior retained; navigation relocated",settings-completeness-browser; test_management.py
F04.01,Setup > Model providers,providers,Refresh provider configurations,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.02,Setup > Model providers,providers,Filter providers with text or wildcard; clear and no-match states,Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
F04.03,Setup > Model providers,providers,"Reorder by drag, keyboard or up/down arrows",Unified generic provider management,Credentials remain private; Provider instance identity is distinct from provider module identity; Reordering disabled during filtered view; Tests use saved values; Current-session selection requires mounted provider and idle work; Retain draft on failed submission; Do not remove custom provider or JSON escape hatches,"Existing native form, action and behavior retained; navigation relocated",settings-browser; provider-interactions; activity-feedback-browser
